"VIV_SEL","HOGAR","N_REN","TLOC","SEXO","EDAD","EST_DIS","UPM_DIS","UPM","FACTOR"
1,1,1,1,2,70,2,1,100077,5712
1,1,2,1,1,30,2,1,100077,5712
1,1,3,1,1,29,2,1,100077,5712
3,1,1,1,1,24,2,1,100077,5712
3,1,2,1,2,22,2,1,100077,5712
3,1,3,1,2,5,2,1,100077,5712
4,1,1,1,1,39,2,1,100077,5712
4,1,2,1,1,36,2,1,100077,5712
4,1,3,1,2,16,2,1,100077,5712
4,1,4,1,2,11,2,1,100077,5712
4,1,5,1,2,1,2,1,100077,5712
4,1,6,1,1,1,2,1,100077,5712
5,1,1,1,1,28,2,1,100077,5712
5,1,2,1,2,30,2,1,100077,5712
5,1,3,1,1,9,2,1,100077,5712
5,1,4,1,2,1,2,1,100077,5712
1,1,1,1,2,70,2,2,100097,5545
3,1,1,1,1,56,2,2,100097,5545
3,1,2,1,2,50,2,2,100097,5545
3,1,3,1,1,20,2,2,100097,5545
4,1,1,1,1,36,2,2,100097,5545
4,1,2,1,2,37,2,2,100097,5545
5,1,1,1,2,82,2,2,100097,5545
5,1,2,1,2,56,2,2,100097,5545
1,1,1,1,2,66,3,3,100179,5607
1,1,2,1,1,46,3,3,100179,5607
1,1,3,1,1,24,3,3,100179,5607
2,1,1,1,1,65,3,3,100179,5607
2,1,2,1,2,63,3,3,100179,5607
2,1,3,1,1,38,3,3,100179,5607
3,1,1,1,1,62,3,3,100179,5607
3,1,2,1,2,58,3,3,100179,5607
3,1,3,1,1,36,3,3,100179,5607
3,1,4,1,2,32,3,3,100179,5607
3,1,5,1,2,30,3,3,100179,5607
3,1,6,1,2,24,3,3,100179,5607
4,1,1,1,1,64,3,3,100179,5607
4,1,2,1,2,57,3,3,100179,5607
4,1,3,1,2,22,3,3,100179,5607
5,1,1,1,1,47,3,3,100179,5607
5,1,2,1,2,41,3,3,100179,5607
5,1,3,1,2,22,3,3,100179,5607
5,1,4,1,1,19,3,3,100179,5607
5,1,5,1,1,18,3,3,100179,5607
5,1,6,1,2,16,3,3,100179,5607
3,1,1,1,1,83,3,4,100324,5744
3,1,2,1,1,60,3,4,100324,5744
3,1,3,1,2,56,3,4,100324,5744
3,1,4,1,2,52,3,4,100324,5744
3,1,5,1,1,23,3,4,100324,5744
1,1,1,1,2,54,3,5,100461,5613
1,1,2,1,1,36,3,5,100461,5613
2,1,1,1,1,50,3,5,100461,5613
2,1,2,1,2,50,3,5,100461,5613
2,1,3,1,2,16,3,5,100461,5613
2,1,4,1,1,18,3,5,100461,5613
4,1,1,1,1,56,3,5,100461,5613
4,1,2,1,2,48,3,5,100461,5613
4,1,3,1,2,25,3,5,100461,5613
4,1,4,1,2,21,3,5,100461,5613
4,1,5,1,1,18,3,5,100461,5613
5,1,1,1,1,30,3,5,100461,5613
5,1,2,1,2,28,3,5,100461,5613
5,1,3,1,1,11,3,5,100461,5613
5,1,4,1,2,9,3,5,100461,5613
5,1,5,1,1,5,3,5,100461,5613
1,1,1,1,1,24,3,6,100462,5731
1,1,2,1,2,22,3,6,100462,5731
1,1,3,1,2,3,3,6,100462,5731
2,1,1,1,1,62,3,6,100462,5731
2,1,2,1,2,56,3,6,100462,5731
2,1,3,1,2,22,3,6,100462,5731
2,1,4,1,2,16,3,6,100462,5731
2,1,5,1,2,2,3,6,100462,5731
3,1,1,1,2,53,3,6,100462,5731
3,1,2,1,1,25,3,6,100462,5731
3,1,3,1,1,24,3,6,100462,5731
4,1,1,1,2,65,3,6,100462,5731
4,1,2,1,2,28,3,6,100462,5731
4,1,3,1,1,10,3,6,100462,5731
1,1,1,1,1,60,4,7,100679,6365
1,1,2,1,2,50,4,7,100679,6365
1,1,3,1,2,21,4,7,100679,6365
1,1,4,1,1,16,4,7,100679,6365
2,1,1,1,2,58,4,7,100679,6365
2,1,2,1,2,28,4,7,100679,6365
2,1,3,1,1,60,4,7,100679,6365
4,1,1,1,1,56,4,7,100679,6365
4,1,2,1,2,49,4,7,100679,6365
4,1,3,1,1,26,4,7,100679,6365
4,1,4,1,1,22,4,7,100679,6365
5,1,1,1,1,50,4,7,100679,6365
5,1,2,1,2,53,4,7,100679,6365
5,1,3,1,1,24,4,7,100679,6365
5,1,4,1,1,20,4,7,100679,6365
