UPM,VIV_SEL,P1_1,P1_2,TLOC,EST_DIS,UPM_DIS,FACTOR
100077,1,3,1,1,2,1,5712
100077,3,3,1,1,2,1,5712
100077,4,6,1,1,2,1,5712
100077,5,4,1,1,2,1,5712
100097,1,1,1,1,2,2,5545
100097,3,3,1,1,2,2,5545
100097,4,2,1,1,2,2,5545
100097,5,2,1,1,2,2,5545
100179,1,3,1,1,3,3,5607
100179,2,3,1,1,3,3,5607
100179,3,6,1,1,3,3,5607
100179,4,3,1,1,3,3,5607
100179,5,6,1,1,3,3,5607
100324,3,5,1,1,3,4,5744
100461,1,2,1,1,3,5,5613
100461,2,4,1,1,3,5,5613
100461,4,5,1,1,3,5,5613
100461,5,5,1,1,3,5,5613
100462,1,3,1,1,3,6,5731
100462,2,5,1,1,3,6,5731
100462,3,3,1,1,3,6,5731
100462,4,3,1,1,3,6,5731
100679,1,4,1,1,4,7,6365
100679,2,3,1,1,4,7,6365
100679,4,4,1,1,4,7,6365
100679,5,9,1,1,4,7,6365
100727,1,2,1,1,2,8,6268
100727,2,6,1,1,2,8,6268
100727,3,3,1,1,2,8,6268
100727,4,3,1,1,2,8,6268
100779,1,3,1,1,3,9,5984
100779,2,1,1,1,3,9,5984
100779,3,5,1,1,3,9,5984
100779,4,5,1,1,3,9,5984
100779,5,2,1,1,3,9,5984
100815,1,6,1,1,3,10,5342
100815,2,6,1,1,3,10,5342
100815,3,4,1,1,3,10,5342
100815,5,3,1,1,3,10,5342
100850,2,5,1,1,3,11,5945
100850,4,4,1,1,3,11,5945
100850,5,5,1,1,3,11,5945
100893,2,4,1,1,4,12,6815
100893,3,4,1,1,4,12,6815
100893,4,2,1,1,4,12,6815
100893,5,2,1,1,4,12,6815
100925,1,5,1,1,3,13,5452
100925,2,2,1,1,3,13,5452
100925,3,4,1,1,3,13,5452
100942,1,4,1,1,3,14,5274
100942,3,5,1,1,3,14,5274
100942,4,4,1,1,3,14,5274
100942,5,5,1,1,3,14,5274
101071,1,2,1,1,3,15,4794
101071,2,5,1,1,3,15,4794
101071,3,12,1,1,3,15,4794
101071,5,2,1,1,3,15,4794
101187,1,2,1,1,3,16,6096
101187,2,3,1,1,3,16,6096
101187,3,6,1,1,3,16,6096
101187,4,2,1,1,3,16,6096
101187,5,4,1,1,3,16,6096
101302,1,3,1,1,4,17,5684
101302,2,3,1,1,4,17,5684
101302,3,4,1,1,4,17,5684
101302,4,1,1,1,4,17,5684
101302,5,5,1,1,4,17,5684
101499,2,8,1,1,2,18,5213
101499,3,3,1,1,2,18,5213
101499,4,4,1,1,2,18,5213
101499,5,4,1,1,2,18,5213
101598,1,7,1,1,2,19,6541
101598,2,6,1,1,2,19,6541
101598,3,6,1,1,2,19,6541
101598,5,6,1,1,2,19,6541
101627,1,5,1,1,3,20,4767
101627,2,4,1,1,3,20,4767
101627,3,4,1,1,3,20,4767
101627,4,3,1,1,3,20,4767
101727,1,4,1,1,4,21,6940
101727,2,5,1,1,4,21,6940
101727,3,2,1,1,4,21,6940
101727,4,5,1,1,4,21,6940
101727,5,2,1,1,4,21,6940
101842,1,6,1,1,2,22,6032
101842,2,2,1,1,2,22,6032
101842,3,4,1,1,2,22,6032
101842,4,4,1,1,2,22,6032
101842,5,7,1,1,2,22,6032
101901,2,6,1,1,4,23,6259
101901,4,5,1,1,4,23,6259
101901,5,4,1,1,4,23,6259
101908,1,4,1,1,2,24,11183
101908,2,10,2,1,2,24,11183
101908,3,2,1,1,2,24,11183
101908,5,4,1,1,2,24,11183
102125,1,4,1,2,5,25,5123
102125,2,7,1,2,5,25,5123
102125,3,2,1,2,5,25,5123
102125,5,4,1,2,5,25,5123
102125,6,3,1,2,5,25,5123
102125,7,5,1,2,5,25,5123
102125,8,3,2,2,5,25,5123
102125,9,5,1,2,5,25,5123
102125,10,4,1,2,5,25,5123
102125,11,5,1,2,5,25,5123
102125,12,8,1,2,5,25,5123
102125,13,5,1,2,5,25,5123
102125,15,3,1,2,5,25,5123
102125,16,4,1,2,5,25,5123
102125,17,10,1,2,5,25,5123
102125,18,6,1,2,5,25,5123
102125,20,3,1,2,5,25,5123
