"VIV_SEL","HOGAR","SEXO","EDAD","FOLIO","FAC_HOG","N_REN"
1,1,2,70,3360780,5712,1
1,1,1,30,3360780,5712,2
1,1,1,29,3360780,5712,3
3,1,1,24,3360780,5712,1
3,1,2,22,3360780,5712,2
3,1,2,5,3360780,5712,3
4,1,1,39,3360780,5712,1
4,1,1,36,3360780,5712,2
4,1,2,16,3360780,5712,3
4,1,2,11,3360780,5712,4
4,1,2,1,3360780,5712,5
4,1,1,1,3360780,5712,6
5,1,1,28,3360780,5712,1
5,1,2,30,3360780,5712,2
5,1,1,9,3360780,5712,3
5,1,2,1,3360780,5712,4
1,1,2,70,3360800,5545,1
3,1,1,56,3360800,5545,1
3,1,2,50,3360800,5545,2
3,1,1,20,3360800,5545,3
4,1,1,36,3360800,5545,1
4,1,2,37,3360800,5545,2
5,1,2,82,3360800,5545,1
5,1,2,56,3360800,5545,2
1,1,2,66,3360882,5607,1
1,1,1,46,3360882,5607,2
1,1,1,24,3360882,5607,3
2,1,1,65,3360882,5607,1
2,1,2,63,3360882,5607,2
2,1,1,38,3360882,5607,3
3,1,1,62,3360882,5607,1
3,1,2,58,3360882,5607,2
3,1,1,36,3360882,5607,3
3,1,2,32,3360882,5607,4
3,1,2,30,3360882,5607,5
3,1,2,24,3360882,5607,6
4,1,1,64,3360882,5607,1
4,1,2,57,3360882,5607,2
4,1,2,22,3360882,5607,3
5,1,1,47,3360882,5607,1
5,1,2,41,3360882,5607,2
5,1,2,22,3360882,5607,3
5,1,1,19,3360882,5607,4
5,1,1,18,3360882,5607,5
5,1,2,16,3360882,5607,6
3,1,1,83,3361027,5744,1
3,1,1,60,3361027,5744,2
3,1,2,56,3361027,5744,3
3,1,2,52,3361027,5744,4
3,1,1,23,3361027,5744,5
1,1,2,54,3361164,5613,1
1,1,1,36,3361164,5613,2
2,1,1,50,3361164,5613,1
2,1,2,50,3361164,5613,2
2,1,2,16,3361164,5613,3
2,1,1,18,3361164,5613,4
4,1,1,56,3361164,5613,1
4,1,2,48,3361164,5613,2
4,1,2,25,3361164,5613,3
4,1,2,21,3361164,5613,4
4,1,1,18,3361164,5613,5
5,1,1,30,3361164,5613,1
5,1,2,28,3361164,5613,2
5,1,1,11,3361164,5613,3
5,1,2,9,3361164,5613,4
5,1,1,5,3361164,5613,5
1,1,1,24,3361165,5731,1
1,1,2,22,3361165,5731,2
1,1,2,3,3361165,5731,3
2,1,1,62,3361165,5731,1
2,1,2,56,3361165,5731,2
2,1,2,22,3361165,5731,3
2,1,2,16,3361165,5731,4
2,1,2,2,3361165,5731,5
3,1,2,53,3361165,5731,1
3,1,1,25,3361165,5731,2
3,1,1,24,3361165,5731,3
4,1,2,65,3361165,5731,1
4,1,2,28,3361165,5731,2
4,1,1,10,3361165,5731,3
1,1,1,60,3361382,6365,1
1,1,2,50,3361382,6365,2
1,1,2,21,3361382,6365,3
1,1,1,16,3361382,6365,4
2,1,2,58,3361382,6365,1
2,1,2,28,3361382,6365,2
2,1,1,60,3361382,6365,3
4,1,1,56,3361382,6365,1
4,1,2,49,3361382,6365,2
4,1,1,26,3361382,6365,3
4,1,1,22,3361382,6365,4
5,1,1,50,3361382,6365,1
